Frog:David, 2011:12/34/3:12678/345678/3:5:0:-1:4:3:A2.A$A2.A$.2A!
:Tropylium, 2011:12/346/3:125678/34678/3:6:1:0:3:3:.2A$A.A$.2A!
::/2/3:2345678/2345678/3:4:-1:-1:3:3:2.A$.BAB$A$.B!
::/2/3:02345678/2345678/3:1:0:1:2:2:BA$BA!
:Hunting, 2020:124/3/3:124678/38/3:4:0:-1:7:13:.A$3A$A$B.2A$.2A.A$2.A.B$.A.3A$5.A$.B.3A$3.B.2A$2.AB2A$3.B.B$4.BA!
:AlephAlpha, 2020:124/3/3:12478/38/3:5:-1:0:38:11:6.A.B$6.A$7.2A$9.A.A$4.ABA2BA2.A$.4AB.A$A3.2B.2A$A3.2B.2A$.4AB.A$4.ABA2BA2.A$9.A.A$7.2A$6.A$6.A.B!
:AlephAlpha, 2020:124/3/3:124678/38/3:6:-1:0:13:14:.AB4.2A2.A2.A6.A3.A2.4A.ABA$AB.A3.B3.B3A5.A3.B2.2A2.A.2A2.A$.A.2A.2A2.B.B6.A.A2BA2.A.2A.2A.ABA$2.A2.A.B2.2A.2B2A2.ABA2.A.2A.A.A.3A.A$6.4AB2.A.2BA.A.A.B2.2A2.A5.A$11.A2B.A$6.4AB2.A.2BA.A.A.B2.2A2.A5.A$2.A2.A.B2.2A.2B2A2.ABA2.A.2A.A.A.3A.A$.A.2A.2A2.B.B6.A.A2BA2.A.2A.2A.ABA$AB.A3.B3.B3A5.A3.B2.2A2.A.2A2.A$.AB4.2A2.A2.A6.A3.A2.4A.ABA!
:AlephAlpha, 2020:124/3/3:124678/3678/3:4:1:1:6:7:.A5.$6A.$3.A2.A$.A3.A.$A4.A.$A.ABAB.$.A.2B.A$2.2BA2.$!
:Muzik, 2017:23/34567/3:237/345678/3:12:-4:0:5:5:2.2A$.A.2A$2A.2A$.A.2A$2.2A!
:Muzik, 2017:23/3456/3:238/345678/3:86:-2:0:7:4:B.3A$B.A2B2A$2.2A.BA$4.3A!
:Lemon41625, 2020:23/345/3:0238/345678/3:4:0:-1:7:6:.2A$2A2.2A$2A3.2A$.A3.2A$2.B2.A$4.B!
::23/3/3:23678/3578/3:4:2:0:5:6:2.A$.B2A$.A.2A$2A.A$3A$.A!
:Lemon41625, 2020:236/357/3:2368/3578/3:52:0:-8:4:4:.2A$A.2A$.2A$.2A!
:Lemon41625, 2020:2368/357/3:2368/357/3:119:3:0:3:3:.2A$3A$.2A!
:Lemon41625, 2020:236/357/3:023678/3578/3:3:0:-1:18:14:2.A12.A$.4A8.4A$2A.2BA6.A2B.2A$3A.2A6.2A.3A$2A.2A.A4.A.2A.2A$B.3A.A4.A.3A.B$3.3AB4AB3A$2.A2.3B2A3B2.A$2.2A.AB.2A.BA.2A$.B5A.2A.5AB$4.A.6A.A$5.3A2.3A$4.A8.A$5.B6.B!
:Lemon41625, 2020:236/35/3:02368/3578/3:3:0:-1:20:16:4.A10.A$3.4A6.4A$2.B3.2A4.2A3.B$2.A2.B2.A2.A2.B2.A$2.2A3.6A3.2A$.B6A.2B.6AB$4.A3.A2BA3.A$5.B8.B$5.4A2.4A$.2A2.B3A2.3AB2.2A$A2B4A.A2BA.4A2BA$BA6.4A6.AB$BAB4.B.2A.B4.BAB$ABA2.B2AB2.B2AB2.ABA$5.2A6.2A$5.BAB4.BAB!
:Apple Bottom, 2017:125/36/3:125/368/3:12:0:4:6:10:2A2.2A5$.4A$6A$.A2.A$6A$.4A!
::23/3/3:23678/378/3:14:-4:0:6:5:2.3A$.A.2A$2A3.A$.A.2A$2.3A!
:Apple Bottom, 2017:126/345/3:126/3458/3:16:0:-2:6:7:.A2.A$2A2.2A$.A2.2A$4.2A$A3.A$2A$.2A!
:LaundryPizza03, 2020:245/34/3:024578/34678/3:4:2:0:6:6:B2A.A$BAB3A$.2A.2A$2.B.2A$3.3A$2.B.A!
:LaundryPizza03, 2020:245/34/3:24578/348/3:8:4:0:5:6:.A.A$AB3A$2A.2A$2A.2A$AB3A$.A.A!
:LaundryPizza03, 2020:245/34/3:2458/348/3:20:3:3:6:11:3.B$3.2A$4.B3$2.3A$.B2ABA$3A.B$2A3.A$.5A$2.4A!
:Lemon41625, 2020:245/23/3:245/23/3:5:-2:0:7:13:2.ABA$.2AB2A$AB3.BA$AB3.BA$.BA.AB$.2AB2A$3.2A$.A.BA$ABA$.A.B$2.A$.2A$.2A!
:Lemon41625, 2020:235/356/3:2358/3568/3:3:0:-1:20:18:4.A10.A$3AB3A6.3AB3A$.A2.2ABA4.AB2A2.A$B2.AB2ABA2.AB2ABA2.B$4.2A.AB2.BA.2A$5.A.AB2.BA.A$4.3AB4.B3A$3.B.3A4.3A.B$2.2A.2A6.2A.2A$2.2A.2BA4.A2B.2A$.A2.5A2.5A2.A$2.B3.B.B2AB.B3.B$3.AB.2A.2B.2A.BA$4.4A4B4A$2.2A3.A.2A.A3.2A$.A3.B.B4.B.B3.A$2.B.2A8.2A.B$3.AB10.BA!
:Lemon41625, 2020:235/356/3:02358/356/3:2:0:-1:9:10:2.A3.A$.3A.3A$.ABA.ABA$AB.ABA.BA$2.2A.2A$.A.ABA.A$2.BA.AB$2.ABABA$4.A$3.B.B!
:Muzik, 2017:237/357/3:2378/3578/3:11:0:4:5:8:2.A$.A.A$2AB2A$2A.2A$5A$A.B.A$.A.A$2.A!
:Lemon41625, 2020:237/35/3:2378/35678/3:3:0:-1:8:20:2.A$.4A$A3.2A$.B.A.2A$4.BAB$6.A$2.5A$.A3.2AB$2.2A$B.A.B$A2.A$.AB2.2A$5.2A$4.3AB$3.2A$2.B2.B$.2A2.2A$ABA2.ABA$A2B2.2BA$.A.2A.A!
:Lemon41625, 2020:12/35/3:124678/35678/3:5:-1:0:3:3:.2A$A$.2A!
:Lemon41625, 2020:23/36/3:2378/368/3:3:-1:0:20:20:4.A10.A$2.4A8.4A$.2A.B.A6.A.B.2A$A3.A.2A4.2A.A3.A$.B.A2.A.A2.A.A2.A.B$3.AB2A.A2.A.2ABA$2.3AB.A.2B.A.B3A$.A3B.B.A2BA.B.3BA$2.A2B.2A.2A.2A.2BA$5.2A6.2A$4.A2.A4.A2.A$5.B2.A2.A2.B$5.A.2A2.2A.A$5.2A2.2A2.2A$4.A.A2.2B2.A.A$4.A2.A4.A2.A$3.AB.8A.BA$3.A.B.2A2.2A.B.A$5.2A2.2A2.2A$8.B2AB!
:Lemon41625, 2020:23/36/3:2378/368/3:4:-1:0:16:16:4.A6.A$3.2AB4.B2A$2.2A2.A2.A2.2A$.A3.2A2.2A3.A$2A3.2B2A2B3.2A$2A2.A.A2.A.A2.2A$B3.2A4.2A3.B$A2.2B6.2B2.A$B2A2B2A2.2A2B2AB$.A3.A.2A.A3.A$3.B3.2A3.B$.A.A8.A.A$.AB2AB4.B2ABA$.AB2A6.2ABA$3.A8.A$3.B8.B!
:Lemon41625, 2020:23/3/3:023678/3678/3:4:-1:-1:11:11:7.2A$5.A2BAB$4.2A2B2.A$3.AB.2A.2A$2.AB2A2.3A$.2A.A.A2.A$.2BA.A2B2A$A2BA2.B2.2A$2A2.A.A2.B$.B.5AB.A$2.3A2.A.A!
:Lemon41625, 2020:237/3/3:02378/3678/3:3:0:-1:8:8:2.3A$.A2.2A$A4.2A$A4.3A$.B6A$3.2B2.B$2.A.A$3.A!
::23/34/3:02378/34678/3:4:1:0:6:6:.2A$B2.A$4.A$.B3.A$2.4A$3.2A!
:Lemon41625, 2020:23/3467/3:238/34678/3:25:-1:1:4:4:.2A$A2.A$.A.A$2.A!
:dmqwerty425@gmail.com, 2017:346/346/3:3467/345678/3:8:1:1:3:3:B.BA$2.2A$BA.A$3A!
