0, B/S, 0, 0, 1, b!
2, B2e/S, 0, 0, 2, o$bo!
2, B2en/S01c2n3a, 0, 0, 3, o2$2bo!
2, B2ci/S1e, 0, 0, 4, obo!
2, B2aci4ej5i/S1e2i3e, 0, 0, 5, obo!
2, B2aci4c5y/S1e2k3kq, 0, 0, 6, obo!
2, B2-kn3y4c5y/S1e2k3k, 0, 0, 7, obo!
2, B2ai3e4irw5i/S012i3aeiky4ej5e6i8, 0, 0, 8, obo!
2, B2aci4aez5y6c7e/S1e2k3eik4cey, 0, 0, 9, obo!
2, B2ai3en4ikrw5iy6c8/S012i3aeik4eik5e6i8, 0, 0, 10, obo!
2, B2ai3eq4irw5in6ci/S012ei3aeir4aejy5ejn6i8, 0, 0, 11, obo!
2, B2ai3er4irw5i7e/S012i3-cjnq4eijnt5ey6ik7e8, 0, 0, 12, obo!
2, B2ai3eq4jr5i6i/S012ei3aeiky4e5eqr6ci8, 0, 0, 13, obo!
2, B2ai3en4inrw5i6ci8/S012ei3aeiry4eijrw5acejr6ik8, 0, 0, 14, obo!
2, B2ai3eqr4jr5ei6ik/S012ei3aeiky4et5eq6ci8, 0, 0, 15, obo!
2, B2ai3ejkn4inrtw5cin6c7e8/S012i3aeiky4eiw5ej6i8, 0, 0, 16, obo!
2, B2ai3eknr4irtw5i6c7/S012i3aeiky4eijnwy5e6ci8, 0, 0, 17, obo!
2, B2ai3-acij4iknrw5iq6a/S012i3aeiqy4eint5en6aik8, 0, 0, 18, obo!
2, B2aik3enqy4aikrwy5ciy78/S012ei3-cnr4aej5ejn6i8, 0, 0, 19, obo!
2, B2ai3en4aknrwy5ceiny6ak8/S012ei3eij4aeir5eijnq6i7e8, 0, 0, 20, obo!
2, B2ai3enq4aijknrw5ijry6c8/S012-ac3-cjqy4eijkw5ek6ci8, 0, 0, 21, obo!
2, B2ai3ekn4cjkr5ainy6cek7e/S012ei3-cqr4eiry5ekqy6i8, 0, 0, 22, obo!
2, B2ai3enq4aijnrw5ijy6ci8/S012ei3aeik4aejktw5ery6ik7e8, 0, 0, 23, obo!
2, B2ai3er4irw5i6i7e/S012i3-cjnq4eijn5ey6ik7e8, 0, 0, 24, obo!
2, B2ain3eny4ajkry5-ejqr6aik7e8/S012eik3-ckry4ei5e6-en8, 0, 0, 25, obo!
2, B2ai3ekn4ijrt5i6c/S012i3aeiky4eiwy5e6i8, 0, 0, 26, obo!
2, B2ai3enq4aijnrw5cijry6ci8/S012ei3aeikn4aekrw5ekry6ik7e8, 0, 0, 27, obo!
2, B2ai3ejk4airw5ci6c7e8/S012i3aeiky4eijw5ej6i8, 0, 0, 28, obo!
2, B2ain3anq4aerty5ein6ai/S012ikn3-kqry4aeijkr5aeijn6ci7e8, 0, 0, 29, obo!
2, B2ai3ekn4airtw5i6c7e/S012i3aeiky4eijwy5e6i8, 0, 0, 30, obo!
2, B2ai3nq4aerty5ein6ai/S012ikn3ceijn4aeijkr5eijn6ci7e8, 0, 0, 31, obo!
2, B2ai3enq4ar5cijk7e8/S012ei3eij4aeiy5eijq6i7e8, 0, 0, 32, obo!
2, B2ain3cn4eiknqr5i/S012eik3-ackq4ejkr5eij6aci7e8, 0, 0, 33, obo!
2, B2ai3ejkn4krt5ciy6ck7e/S012eik3einr4aeitwz5-cnr6ik8, 0, 0, 34, obo!
2, B2ain3kn4ijnry5ijy6ik7e/S012i3eij4aeikrty5-ackq6ei7e8, 0, 0, 35, obo!
2, B2ai3ej4irt5ceiy6k8/S012i3eikqy4ej5eiq6ai7e8, 0, 0, 36, obo!
2, B2ain3cn4eijkqrt5aikn6c7e/S012i3-ack4ejrtw5eijqr6aik7e8, 0, 0, 37, obo!
2, B2ai3enq4inrwy5ci6cik8/S012ei3-cjkq4eijrwy5cejkr6ik8, 0, 0, 38, obo!
2, B2ain3cn4eijkqrt5aeikn6c7e/S012i3-ackr4ejrtw5eijq6aik7e8, 0, 0, 39, obo!
2, B2ai3en4aknrtwy5ciy6ak8/S012ei3eij4aeir5eijnq6i7e8, 0, 0, 40, obo!
2, B2aci3k4arz5ijnry6c78/S1e2kn3ikqry4aeinwy5ainy6i7e, 0, 0, 41, obo!
2, B2ai3enq4cinrw5ceij6c/S012ei3aeiry4aejr5-iqry6aik8, 0, 0, 42, obo!
2, B2-kn3ekr4r5ijnqy7e8/S12ek3-eikn4eijrwyz5cij6-kn7, 0, 0, 43, obo!
2, B2ai3cenq4aijnrw5ijy6ci8/S012ei3aeikn4aejkrw5ekry6ik7e8, 0, 0, 44, obo!
2, B2-ek3kqry4cerz5cijy6ac8/S12kn3aikn4irt5acijr6ai, 0, 0, 45, obo!
2, B2ain3eq4inrw5ijk6ci8/S012eik3-jkqr4aejrt5ejny6ik7e8, 0, 0, 46, obo!
2, B2-ek3kry4cent5eiy6ac78/S12kn3-ck4acjknyz5aiq6aik8, 0, 0, 47, obo!
2, B2ai3enq4aijnrwy5iy6ci7c8/S012ei3aeik4aektw5ery6i7e8, 0, 0, 48, obo!
2, B2ain3en4-acjtz5ejr6ai8/S01e2e3acqry4centyz5-ckqr6ac7e8, 0, 0, 49, obo!
2, B2ai3ekn4ijkry5aciq6ci7e/S012ei3-anry4aeij5aeij6i8, 0, 0, 50, obo!
2, B2ain3en4inqrwy5acej6aci8/S01e2e3akqry4acentw5ceiy6c78, 0, 0, 51, obo!
2, B2ai3ekn4ijkry5aciq6ci7e/S012ei3-anry4aeijz5aeij6i8, 0, 0, 52, obo!
2, B2ai3eknq4eijknrw5an6cin7c8/S01e2e3akqr4acek5einqy6ckn7e, 0, 0, 53, obo!
2, B2ai3eny4ijknry5aciq6c7e/S012ei3-aqry4eiz5aeij6i8, 0, 0, 54, obo!
2, B2ain3cenq4ainrz5ajqy6ik/S01e2e3ackry4aejk5ceijy6ac7e8, 0, 0, 55, obo!
2, B2ai3eny4ijknry5aciq6ci/S012eik3ceijk4aeiz5aeij6i8, 0, 0, 56, obo!
2, B2ai3ekn4eiknrz5ejnqy6aci7c8/S01e2e3ackqr4acejkt5-jkr, 0, 0, 57, obo!
2, B2ai3anq4nrt5in6ei/S012ik3-jknr4aeikry5eij6ci7e8, 0, 0, 58, obo!
2, B2ai3ekn4eiknrwz5-cijk6aci7c8/S01e2e3-eijn4acejnz5ei6n7c, 0, 0, 59, obo!
2, B2ain3cnq4einrt5ijk6e/S012eik3eijqy4aejr5eij6aci78, 0, 0, 60, obo!
2, B2ai3knq4iknrtwy5cery6i7c/S01e2ce3akqry4acekq5jknry6c8, 0, 0, 61, obo!
2, B2ain3kn4iknqr5eik6ce7c8/S012i3-cjnr4enr5eijry6ai7e8, 0, 0, 62, obo!
2, B2aei3cknqy4inqry5acen6cei8/S01e2e3kr4aenqrtz5aeiry6c8, 0, 0, 63, obo!
2, B2ain3ekny4ciknrwy5ijny6c7e8/S012ei3-jy4eijkw5acer6ei7c8, 0, 0, 64, obo!
2, B2-ck3k4einqry5n6aci7c8/S01e2ek3ackr4ajnqrtw5-ackr6ace7e8, 0, 0, 65, obo!
2, B2ain3cnq4aeinrt5ij6ce8/S012-ac3-cjkr4aejr5eij6aik7e8, 0, 0, 66, obo!
2, B2-ck3ckn4einrty5ajny6cik8/S01e2ek3ackr4ekqrtw5aijny6ac, 0, 0, 67, obo!
2, B2ai3nq4aekrty5eir6ei/S012ikn3ein4aeijkqr5eij6i7e8, 0, 0, 68, obo!
2, B2-ck3ckn4einrty5ajny6ci8/S01e2ek3ackr4ekqrtw5aijny6ac, 0, 0, 69, obo!
2, B2ain3ny4eikqry5ik/S012ik3-kqry4aeikn5einy6i7e8, 0, 0, 70, obo!
2, B2-ck3cekqy4-ackw5cer6ei/S01e2e3cr4jnrt5ejkqy6cek8, 0, 0, 71, obo!
2, B2ai3acn4-cjkwz5ei6a8/S012-ac3-ckqr4ejk5ein6aci7e8, 0, 0, 72, obo!
2, B2-ck3ceq4eijnrt5ckny6-ak7c8/S01e3kr4cejknry5kry6-in8, 0, 0, 73, obo!
2, B2ai3nqy4ceinqr5ein6e/S012ikn3-jkry4eijkr5eijr6i7e8, 0, 0, 74, obo!
2, B2aei3cekq4-ckqwz5cny6aik7c/S01e3r4acejny5-aiqr6ce7e8, 0, 0, 75, obo!
2, B2ai3nq4aerty5-cqry6ai/S012-ac3ceijn4aeijkqr5eij6ci7e8, 0, 0, 76, obo!
2, B2aei3ekq4-cqtwz5aekqy6-kn7c8/S01e3aqr4ceknrtw5aenqy6k8, 0, 0, 77, obo!
2, B2ain3nq4-ijz5ceiny6c7e/S012-ac3aeik4enw5aeijk6ai7e8, 0, 0, 78, obo!
2, B2-ck3eq4eijknrt5cjnry6-en/S01e2k3ar4-aiqwz5anqy6ae7e8, 0, 0, 79, obo!
2, B2-ek3r4aejkqtz5cinry6c/S1e2kn3ikqr4eiknqtw5aijy6aci7e, 0, 0, 80, obo!
2, B2-ck3cekny4eijknrz5cejn6aci8/S01e2e3ar4-ainqr5nr6ce, 0, 0, 81, obo!
2, B2-ek3kry4ajtyz5-ack6a8/S1e2k3-aejy4cein5aeij6-en7e, 0, 0, 82, obo!
2, B2-ck3ekqy4-acqwz5cjknr6cei8/S01e2ek3aqr4-aikwz5cijny6ak7e, 0, 0, 83, obo!
2, B2aci3kq4aqrty5-acjk6ack7e/S1e2kn3-acey4ceinw5aeijq6-kn7e, 0, 0, 84, obo!
2, B2aei3eknqy4eijknrt5acen6aci7c8/S01e2e3r4acejnry5eiknr6cek7e8, 0, 0, 85, obo!
2, B2aci3kr4ant5einry6ack7e8/S1e2k3-aejy4ceknqr5eiqy6aik7e, 0, 0, 86, obo!
2, B2aei3ekqy4-cqwyz5-ijnr6aci8/S01e3kqr4-ainqt5cejqy6c78, 0, 0, 87, obo!
2, B2-ek3kqry4ce5cijy6c7e8/S12kn3iknr4ikntwy5aijqr6aci, 0, 0, 88, obo!
2, B2aei3-aijr4eijknrt5aceny6-ek8/S01e2e3kqr4acjnrty5aikny6c, 0, 0, 89, obo!
2, B2aci3r4-aikqw5ceijn7e8/S1e2kn3ijkqr4-nqwz5i7e8, 0, 0, 90, obo!
2, B2-ck3cekn4-cktwz5acjny6-kn/S01e2e3cr4cenry5-knr6cek7e8, 0, 0, 91, obo!
2, B2-ek3kqry4cer5cijy6c7e8/S12kn3aik4irty5acinq6cik8, 0, 0, 92, obo!
2, B2aei3ceknq4-acwyz5-iq6ci8/S01e3r4cejrt5aeijy6cek78, 0, 0, 93, obo!
2, B2aci3kq4ckqyz5ijnry6ac7e/S12ci3-ijqy4ijktwy5eiy6ak7e, 0, 0, 94, obo!
2, B2-ck3eky4-ckwyz5acen6cik/S01e3qry4cejkr5cejny6ac78, 0, 0, 95, obo!
2, B2aci3kq4ikqyz5aeir6aci7e8/S12ce3cejr4aikqtwz5ceijn6cei7c, 0, 0, 96, obo!
2, B2-ck3ceknq4eijnrty5-i6-e8/S01e2e3aqr4cejqrty5-cjn6ck7e, 0, 0, 97, obo!
2, B2ain3en4-acjtz5ejr6ai8/S01e2e3acqry4centz5-ckq6ac7e8, 0, 0, 98, obo!
2, B2aei3ceqy4-acqw5ejkr6-en7c8/S01e3kr4cejkrt5-ckq6ack8, 0, 0, 99, obo!
2, B2ai3cenq4eijknr5aeknq6cin/S01e2en3akqry4acen5eiy7c8, 0, 0, 100, obo!
2, B2aei3ceknq4eijnqry5cejny6aci8/S01e2e3ar4-aikqr5aeiy6ak7e8, 0, 0, 101, obo!
2, B2ai3cenq4eijknr5acejy6ci8/S01e2e3-eijn4acew5aeij6a, 0, 0, 102, obo!
2, B2aei3eknq4ejknqt5cy6c7e/S01e2ein3-acn4cinrz5jqr6ek7e, 0, 0, 103, obo!
2, B2ai3cenq4eijknr5aceny6ci8/S01e2e3-eijn4acejw5eijn6an, 0, 0, 104, obo!
2, B2-ck3akqy4cijknry5iknqy6ac8/S01e2ik3-cijn4cjnqrty5-jkq6aci7e, 0, 0, 105, obo!
2, B2ain3en4inqrwy5aej6aci8/S01e2e3akqry4acent5ceiqy6c78, 0, 0, 106, obo!
2, B2-ck3ak4ijnr5-cjqy6cei8/S01e2ik3-acik4-erwz5-ajkq6-kn7e, 0, 0, 107, obo!
2, B2ai3ekn4eijknrw5aejkn6ei8/S01e2e3-eijn4aejknz5-aky6kn8, 0, 0, 108, obo!
2, B2aei3-aij4-acwyz5-ai6cik/S01e3jr4acejtz5eikny6ck7e8, 0, 0, 109, obo!
2, B2ai3ceknq4aeinrz5aenqy6-kn7c8/S01e2e3ackry4acekt5aey6ck7e, 0, 0, 110, obo!
2, B2aei3akqy4ijknry5ijnqy6ac8/S01e2eik3-aijn4-eikz5-ajk6-kn7e, 0, 0, 111, obo!
2, B2ain3eknq4eiknryz5-ijkr6cik7c8/S01e2e3-eijn4aceknz5aein7e, 0, 0, 112, obo!
2, B2-ck3eknqr4-acqtz5-aikq6-en/S01e3jr4aceqt5eikn6ack7e8, 0, 0, 113, obo!
2, B2ai3cknq4eijknr5en6-kn8/S01e2cek3ackry4-ijqr5-eqr6ckn78, 0, 0, 114, obo!
2, B2-ck3-aijy4-acwy5-ijkr6-en7c/S01e3jr4aceqtz5einr6cn7e8, 0, 0, 115, obo!
2, B2ain3enq4inqryz5ny6cei8/S01e2ckn3aqry4aejqt5aijry6cek7c8, 0, 0, 116, obo!
2, B2aei3-aij4-acqtz5cnqy6-e7c/S01e3kr4acejtwz5einy6c7e8, 0, 0, 117, obo!
2, B2ai3ekn4eiknrwz5-cijk6ci7c8/S01e2e3-eijn4acejnz5cei7c, 0, 0, 118, obo!
2, B2aei3-acij4-actwz5-ir6-e7c/S01e3jr4acetz5-acjq6ck7e8, 0, 0, 119, obo!
2, B2ain3cknq4-acjq5cey6i/S01e2cen3-eijn4acekqt5jny6ac8, 0, 0, 120, obo!
2, B2aei3-acij4-acqz5cknqy6-e7c8/S01e2e3kr4acejt5eiknq6c7e8, 0, 0, 121, obo!
2, B2ai3ekn4eiknrwz5-cijk6aci7c8/S01e2e3-eijn4acejnz5aeir6n7c, 0, 0, 122, obo!
2, B2-ck3eknqr4-actyz5-air6-en7c/S01e3jr4acetz5eikn6ck7e8, 0, 0, 123, obo!
2, B2-ck3q4-acjtz5any6ai7c8/S01e2ek3ackr4ajnqry5ijnr6c7e8, 0, 0, 124, obo!
2, B2-ck3eknqr4-actwy5-aiqr6-ae/S01e3jr4-iknry5einq6ack7e8, 0, 0, 125, obo!
2, B2ain3cknq4-acjw5ace6ci/S01e2cen3akqr4cekty5ceijy6ack7c8, 0, 0, 126, obo!
2, B2-ck3-aij4-acy5-aiqr6cik7c/S01e3jr4acejtwz5eikny6ack7e8, 0, 0, 127, obo!
2, B2ai3knq4-acjqz5cery6i7c/S01e2cen3-eijn4acekqt5jknry6c8, 0, 0, 128, obo!
2, B2aei3-aijy4eijknry5cjkny6cik7c8/S01e3kr4acejtz5-acjy6c7e8, 0, 0, 129, obo!
2, B2ain3cknq4-acjqw5ace6ci/S01e2cen3akqr4cektyz5ceijy6ack7c8, 0, 0, 130, obo!
2, B2-ck3eknqr4-acqty5cenry6-en7c/S01e2n3jr4acejqtw5ein6ckn7e8, 0, 0, 131, obo!
2, B2aei3eqy4eijknrz5cejnr6-ek/S01e2ek3r4eknrtw5-acnq6cek78, 0, 0, 132, obo!
2, B2aei3eknqr4eijknqr5-ikr6-en7c/S01e3jr4aceqt5ein6ckn7e8, 0, 0, 133, obo!
2, B2ai3cnq4eijnrt5aejny6i7c/S01e2cek3akqry4eknqry5ajny6ack, 0, 0, 134, obo!
2, B2aei3eknqr4eijknry5-eikr6-e7c/S01e3r4acetz5eiknq6ck7e8, 0, 0, 135, obo!
2, B2-ck3ekqy4-actw5-cik6-n/S01e2k3akr4ejkty5-cnq6-in78, 0, 0, 136, obo!
2, B2-ck3-aijy4eijknqr5-ikq6-e/S01e2n3jr4acejtz5einqr6ck7e8, 0, 0, 137, obo!
2, B2aei3ceqy4eijnrtw5ejny6-an/S01e2ek3akr4ejnrty5-ackr6ac7e8, 0, 0, 138, obo!
2, B2aei3-aijy4-acqy5acny6cik8/S01e3kr4acejtz5eikn6c7e8, 0, 0, 139, obo!
2, B2aei3eqy4-ckqwy5acn6i8/S01e3kr4-iq5-akq6a7c8, 0, 0, 140, obo!
2, B2aei3-aij4-acqty5ackny6-ae7c8/S01e3kr4acejqtw5eikny6ac7e8, 0, 0, 141, obo!
2, B2aei3cekq4eijknqr5cejy6-kn/S01e2ek3cr4ejkt5-anqr6-in78, 0, 0, 142, obo!
2, B2-ck3-aij4eijknry5acny6-e8/S01e2n3kr4acejqtz5einqy6ac7e8, 0, 0, 143, obo!
2, B2aei3cnqy4eiknqrz5-aijq6ci8/S01e2ek3ackr4-aeijz5ainry6ce, 0, 0, 144, obo!
2, B2aei3-aij4-acwz5-aeir6cik8/S01e3kr4acejqtz5einry6ac7e8, 0, 0, 145, obo!
2, B2-ck3ey4eijknrw5-aik6-kn8/S01e2k3r4cknr5jkn6ac, 0, 0, 146, obo!
2, B2aei3-aijy4-acqty5cny6-en8/S01e3r4acejqtw5einqr6ack7e8, 0, 0, 147, obo!
2, B2-ck3eky4-ckwz5aekny6cei/S01e3akr4cejky5aceq6e7c8, 0, 0, 148, obo!
2, B2aei3-aij4-actz5ckny6cik/S01e3kr4acejtz5ein6ck7e8, 0, 0, 149, obo!
2, B2-ck3ek4-ackwy5ejny6cik8/S01e3ar4ejqrty5-cnqr6ace78, 0, 0, 150, obo!
2, B2aei3-aij4-acy5-eijr6-e7c8/S01e3r4acejqt5einry6ck7e8, 0, 0, 151, obo!
2, B2aei3ceqy4eijknqr5cejnq6ikn8/S01e2ek3akr4ejnt5-ckr6-in78, 0, 0, 152, obo!
2, B2aei3-acij4eijknrt5cjny6-en/S01e3jkr4acejtwz5einqy6c7e8, 0, 0, 153, obo!
2, B2-ck3ceq4-acqwz5-aci6aci8/S01e2k3kr4enrtyz5-acn6-in7e8, 0, 0, 154, obo!
2, B2aei3-aijy4-acwyz5cjnqy6-en8/S01e3r4acejqt5-acjq6ck7e8, 0, 0, 155, obo!
2, B2aei3ceqy4eijknqr5cejnq6ikn8/S01e2ek3akr4ejnt5-cr6-in78, 0, 0, 156, obo!
2, B2aei3eknqr4-ac5cknqy6-e/S01e3r4acejqtz5-acjy6acn7e8, 0, 0, 157, obo!
2, B2aei3cekq4-ckqwz5cny6ik7c/S01e3r4acejny5-iqr6ce7e8, 0, 0, 158, obo!
2, B2-ck3-aij4-acqz5-i6-e8/S01e2n3ckr4acejtz5eiknr6ac7e8, 0, 0, 159, obo!
2, B2-ck3eky4-acwyz5-ijkn6cei8/S01e2e3qr4-aiqwz5air6ack7e, 0, 0, 160, obo!
